@relation ProteinFoldsDicots

@attribute pcvA             NUMERIC
@attribute pcvR             NUMERIC
@attribute pcvN             NUMERIC
@attribute pcvD             NUMERIC
@attribute pcvC             NUMERIC
@attribute pcvQ             NUMERIC
@attribute pcvE             NUMERIC
@attribute pcvG             NUMERIC
@attribute pcvH             NUMERIC
@attribute pcvI             NUMERIC
@attribute pcvL             NUMERIC
@attribute pcvK             NUMERIC
@attribute pcvM             NUMERIC
@attribute pcvF             NUMERIC
@attribute pcvP             NUMERIC
@attribute pcvS             NUMERIC
@attribute pcvT             NUMERIC
@attribute pcvW             NUMERIC
@attribute pcvY             NUMERIC
@attribute pcvV             NUMERIC
@attribute sscC             NUMERIC
@attribute sscE             NUMERIC
@attribute sscH             NUMERIC
@attribute dssC             NUMERIC
@attribute dssE             NUMERIC
@attribute dssH             NUMERIC
@attribute adssCCC          NUMERIC
@attribute adssCCE          NUMERIC
@attribute adssCCH          NUMERIC
@attribute adssCEC          NUMERIC
@attribute adssCEE          NUMERIC
@attribute adssCEH          NUMERIC
@attribute adssCHC          NUMERIC
@attribute adssCHE          NUMERIC
@attribute adssCHH          NUMERIC
@attribute adssECC          NUMERIC
@attribute adssECE          NUMERIC
@attribute adssECH          NUMERIC
@attribute adssEEC          NUMERIC
@attribute adssEEE          NUMERIC
@attribute adssEEH          NUMERIC
@attribute adssEHC          NUMERIC
@attribute adssEHE          NUMERIC
@attribute adssEHH          NUMERIC
@attribute adssHCC          NUMERIC
@attribute adssHCE          NUMERIC
@attribute adssHCH          NUMERIC
@attribute adssHEC          NUMERIC
@attribute adssHEE          NUMERIC
@attribute adssHEH          NUMERIC
@attribute adssHHC          NUMERIC
@attribute adssHHE          NUMERIC
@attribute adssHHH          NUMERIC
@attribute phyAthaliana     NUMERIC
@attribute phyCpapaya       NUMERIC
@attribute phyCsativus      NUMERIC
@attribute phyGmax          NUMERIC
@attribute phyLjaponicus    NUMERIC
@attribute phyMesculenta    NUMERIC
@attribute phyMtrunculata   NUMERIC
@attribute phyMguttatus     NUMERIC
@attribute phyPtrichocarpa  NUMERIC
@attribute phyPpersica      NUMERIC
@attribute phyRcommunis     NUMERIC
@attribute phySlycoparsicum NUMERIC
@attribute length           NUMERIC
@attribute class {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,-}

@data
9.0000,13.0000,20.0000,16.0000,19.0000,13.0000,17.0000,5.0000,22.0000,8.0000,9.0000,8.0000,11.0000,11.0000,0.0000,15.0000,2.0000,3.0000,20.0000,12.0000,0.5500,0.2045,0.2455,9,5,3,1,0,1,2,1,0,2,1,0,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.20,z
3.0000,5.0000,10.0000,8.0000,0.0000,10.0000,7.0000,34.0000,0.0000,18.0000,6.0000,20.0000,1.0000,0.0000,0.0000,3.0000,6.0000,13.0000,0.0000,31.0000,0.5476,0.1694,0.2831,17,7,9,0,2,1,5,0,0,4,1,2,2,2,3,0,0,0,0,0,0,2,1,3,1,0,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4.31,t
21.0000,7.0000,6.0000,5.0000,24.0000,10.0000,9.0000,9.0000,0.0000,12.0000,5.0000,10.0000,18.0000,4.0000,8.0000,14.0000,30.0000,0.0000,0.0000,12.0000,0.4444,0.2778,0.2778,3,3,2,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.72,z
4.0000,4.0000,12.0000,9.0000,0.0000,10.0000,24.0000,5.0000,9.0000,12.0000,3.0000,23.0000,0.0000,6.0000,5.0000,10.0000,15.0000,7.0000,14.0000,18.0000,0.6281,0.2686,0.1033,10,6,2,1,3,0,5,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,n
12.0000,2.0000,9.0000,17.0000,0.0000,9.0000,25.0000,7.0000,0.0000,17.0000,11.0000,10.0000,16.0000,0.0000,12.0000,5.0000,11.0000,0.0000,0.0000,19.0000,0.3944,0.6056,0.0000,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0.71,l
13.0000,12.0000,9.0000,24.0000,7.0000,9.0000,19.0000,6.0000,0.0000,16.0000,8.0000,9.0000,19.0000,13.0000,8.0000,13.0000,24.0000,0.0000,5.0000,12.0000,0.5349,0.3798,0.0853,6,7,1,0,1,0,2,1,1,0,0,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,h
10.0000,4.0000,5.0000,13.0000,0.0000,3.0000,14.0000,12.0000,5.0000,13.0000,17.0000,9.0000,11.0000,19.0000,13.0000,6.0000,9.0000,0.0000,19.0000,10.0000,0.5686,0.1650,0.2664,19,6,11,2,0,3,3,0,2,5,0,2,2,0,2,0,0,0,1,1,0,1,5,2,1,0,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5.03,p
14.0000,10.0000,5.0000,2.0000,2.0000,11.0000,4.0000,32.0000,0.0000,16.0000,13.0000,12.0000,16.0000,1.0000,22.0000,11.0000,10.0000,0.0000,0.0000,8.0000,0.4864,0.0682,0.4455,6,2,9,0,0,0,0,0,1,3,0,2,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2.20,t
16.0000,13.0000,9.0000,16.0000,0.0000,11.0000,4.0000,14.0000,0.0000,17.0000,9.0000,8.0000,0.0000,11.0000,8.0000,25.0000,12.0000,0.0000,12.0000,19.0000,0.2313,0.0000,0.7688,3,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.60,a
12.0000,3.0000,5.0000,14.0000,0.0000,16.0000,21.0000,18.0000,13.0000,15.0000,14.0000,5.0000,12.0000,8.0000,13.0000,4.0000,11.0000,11.0000,3.0000,10.0000,0.6218,0.0168,0.3613,4,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1.19,y
